Name,Quantity,Weight
Machete,12,0.0
Serrated machete,1,0.0
Kremvh's Tooth,50,0.0
Mr. Handy buzz blade,26,0.0
Revolutionary sword,18,0.0
Shem Drowne sword,20,0.0
Ripper,18,0.0
Curved Ripper,27,0.0
Extended Ripper,1,0.0
Reckoning,25,0.0
The Harvester,1,0.0
Shishkebab,15,0.0
Switchblade,10,0.0
Serrated switchblade,1,0.0
Steel sword,1,0.0
Pint-Sized Slasher knife,1,0.0
Alien shock baton,1,0.0
Baseball bat,9,0.0
2076 World Series baseball bat,16,0.0
Cito's Shiny Slugger,1,0.0
Fencebuster,1,0.0
Baton,9,0.0
Board,7,0.0
Bladed board,1,0.0
Commie Whacker,8,0.0
Lead pipe,9,0.0
Pipe wrench,11,0.0
Big Jim,11,0.0
Pole hook,1,0.0
Bloodletter,1,0.0
The Fish Catcher,1,0.0
Pool cue,7,0.0
Sharp pool cue,1,0.0
Rolling pin,9,0.0
Sharp aluminum rolling pin,1,0.0
Sledgehammer,13,0.0
Super sledge,22,0.0
Stunning super sledge,1,0.0
Atom's Judgement,1,0.0
Swatter,10,0.0
Bladed Swatter,1,0.0
Rockville Slugger,12,0.0
Tire iron,10,0.0
Bladed tire iron,1,0.0
Walking cane,8,0.0
Unarmed,7,2.0
Boxing glove,8,2.0
Spiked boxing glove,1,2.0
Puncturing boxing glove,1,2.0
Lead lined boxing glove,14,2.0
Deathclaw gauntlet,22,2.0
Large deathclaw gauntlet,27,2.0
Knuckles,8,2.0
Sharp knuckles,1,2.0
Bladed knuckles,1,2.0
Meat hook,17,2.0
Large meat hook,22,2.0
Butcher's Hook,1,0.0
Power fist,17,2.0
Puncturing power fist,1,2.0
Heated power fist,1,2.0
.44 pistol,28,119.0
Eddie's Peace,28,125.0
Kellogg's pistol,28,119.0
The Gainer,28,119.0
Early Retirement,1,119.0
10mm pistol,82,83.0
Wastelander's Friend,124,107.0
Gen-4 10mm pistol,1,0.0
Deliverer,165,53.0
Silver Sidearm,1,0.0
Classic 10mm pistol,1,119.0
Ultimatum,1,0.0
Flare gun,3,146.0
Western revolver,36,0.0
